Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,1.544569941,1.569605903,1.543603816,1.520798346,1.487117734,1.399708406,1.306138474,1.235550728,1.162230903,1.135223201,1.147708341,1.115647478,1.122704433,1.123643593,1.08702781,1.083780796,1.009839776,0.98784053,0.941916226,0.962334142,0.916667859,0.880604558,0.853333634,0.830292533,0.788507908,0.787303971,0.764290177,0.751514675
Azerbaijan,7.822472065,7.789094231,7.863521555,7.63194126,7.353632138,6.959245028,6.603624046,6.246770734,5.833248515,5.28147167,4.716439511,3.934000826,3.905357118,3.758149783,3.692064166,3.740600899,3.461288817,3.259438506,3.320817839,3.282272657,3.303203376,3.304421793,3.256845165,3.238385879,3.197469707,3.095807653,3.033316985,3.007401668
Bahamas,8.747206742,8.471788431,8.402777877,8.473843328,8.15112941,8.044272099,7.724423458,7.832844488,7.775137132,7.363459567,7.239738076,7.045826723,6.88793447,6.742020076,6.659728473,6.690805495,6.714931271,6.761729546,6.702939997,6.74113789,6.660584453,6.721947125,6.888032434,7.081146527,7.026754268,6.961034214,6.929052445,6.87791191
Bahrain,1.871884022,1.8885238,1.897114309,1.911101003,1.897673484,1.975769701,1.932333782,1.940264403,1.902359652,1.811021443,1.518814364,1.325136855,1.11910334,1.030411814,0.996145503,0.927437217,0.883233779,0.793400358,0.745138287,0.711038657,0.677873251,0.66520422,0.699548971,0.715088388,0.69829988,0.68310212,0.669500531,0.656166719
Bangladesh,44.95638615,43.68079296,42.06121002,40.67882306,38.8249402,37.65395795,36.67988369,35.71663313,34.28724323,32.74213754,31.471995,30.06626933,28.66477471,27.1194679,25.8721091,24.32082536,22.3354565,21.5900855,20.19991642,18.31970361,16.44962722,15.04025941,13.51509725,12.22552558,11.17597489,10.34556893,9.598387698,8.936756298
Barbados,5.994240079,5.878620969,5.656005635,5.644806746,5.515844798,5.525666656,5.394288095,5.046994288,4.889711952,4.64159441,4.445062839,4.323440358,4.40631898,4.382183746,4.351737845,4.337450173,4.267345918,4.205391918,4.123811099,4.033268527,3.945284285,3.911927846,3.872403255,3.939915762,3.857265749,3.814293179,3.829837936,3.821571201
Belarus,12.22472767,13.08840764,13.84609782,14.99243072,16.12795193,16.83180692,16.71486732,17.08945525,18.1019403,19.03486731,16.74079555,17.30396704,16.18827022,14.48361048,13.97251427,13.89643156,12.82617893,11.56507871,11.09453631,10.82905882,11.20788652,10.4997709,8.685094043,7.907463104,7.503170773,6.914715354,6.621148279,6.638843142
Belgium,1.392638844,1.348927674,1.340628453,1.28343798,1.276254025,1.19882994,1.101635255,1.032835702,1.03546032,1.021909182,1.012335667,1.021376875,1.035827006,1.003230518,0.946095997,0.946377401,0.93028544,0.94393021,0.943640975,0.923234929,0.90994761,0.911891567,0.905907664,0.889438034,0.859184949,0.88092615,0.834825047,0.822758992
Belize,8.908154399,9.169390553,9.172969983,8.745171353,8.064464629,8.20864796,8.396939863,8.132760758,8.390164917,8.100812428,7.997835239,7.721578797,7.533716977,7.42483167,7.391939504,7.364717974,7.132760058,6.978239307,6.839253051,6.813326012,6.750208968,6.74988326,6.591067804,6.605473088,6.500617986,6.472054925,6.544745912,6.502222654
Benin,9.126423162,9.030873226,8.386494665,8.100722556,7.80916316,7.623909956,7.241719176,7.134974343,6.709773304,6.743030257,6.279713694,6.078796926,6.387133224,6.139318932,5.86137605,5.415410905,5.074094445,4.996457072,4.804268363,4.701562062,4.611565789,4.682709073,4.891182586,4.664451104,4.504186414,4.205295965,3.905231002,3.628296242
